Gemaakt op,Type locatie,Status,Feedback gevraagd,Kanaal,Locatie,Nummer,Type sluikstort,dichtstbijzijnde_adres,longitude,latitude,geo_punt
2023-04-22T11:01:11+02:00,Park of groenzone,Afgerond - Uitgevoerd,1,Webformulier (sluikstortmeldingen),"{""Locatie beschrijving"": ""achteraan bij de speeltuigen , tribune de porre"", ""Dichtstbijzijnde adres"": ""Jules de Saint-Genoisstraat 101, 9050 Gent"", ""Longitude"": 3.7584068343, ""Latitude"": 51.02798927}",MLD2319789,Andere;Zakken,"Jules de Saint-Genoisstraat 101, 9050 Gent",3.7584068343,51.02798927,"51.02798927, 3.7584068343"
2023-04-22T14:49:58+02:00,Berm,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""tussen de Schelde en de Jozef Schellstraat "", ""Dichtstbijzijnde adres"": ""Cecile Vereeckenstraat 2C, 9052 Gent"", ""Longitude"": 3.7348283656, ""Latitude"": 51.0094545078}",MLD2319812,Meubilair,"Cecile Vereeckenstraat 2C, 9052 Gent",3.7348283656,51.0094545078,"51.0094545078, 3.7348283656"
2023-04-22T16:38:25+02:00,Park of groenzone,Afgerond - Stopgezet,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""straat grote wede, achter parkeerplaats voor gehandicapten"", ""Dichtstbijzijnde adres"": ""Grote Wede 10, 9040 Gent"", ""Longitude"": 3.7532768, ""Latitude"": 51.0481432}",MLD2319829,Zakken,"Grote Wede 10, 9040 Gent",3.7532768,51.0481432,"51.0481432, 3.7532768"
2023-04-22T16:52:31+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""muur wasserij "", ""Dichtstbijzijnde adres"": ""Kunstenaarstraat 32, 9040 Gent"", ""Longitude"": 3.7471669471, ""Latitude"": 51.0520610508}",MLD2319832,Andere;Slachtafval,"Kunstenaarstraat 32, 9040 Gent",3.7471669471,51.0520610508,"51.0520610508, 3.7471669471"
2023-04-22T17:50:21+02:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Walstraat 126, 9050 Gent"", ""Longitude"": 3.7478426117, ""Latitude"": 51.031770396}",MLD2319839,Papier en karton;Zakken,"Walstraat 126, 9050 Gent",3.7478426117,51.031770396,"51.031770396, 3.7478426117"
2023-04-22T18:16:24+02:00,Parking of garageboxen,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Auguste Van Ooststraat 57, 9050 Gent"", ""Longitude"": 3.7459669076, ""Latitude"": 51.0449383781}",MLD2319841,Zakken,"Auguste Van Ooststraat 57, 9050 Gent",3.7459669076,51.0449383781,"51.0449383781, 3.7459669076"
2023-04-22T18:18:37+02:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Brusselsesteenweg 1, 9050 Gent"", ""Longitude"": 3.7411536, ""Latitude"": 51.0416336}",MLD2319842,Zakken,"Brusselsesteenweg 1, 9050 Gent",3.7411536,51.0416336,"51.0416336, 3.7411536"
2023-04-23T07:35:41+02:00,Berm,Afgerond - Dubbel,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""achter de woningen aan het water"", ""Dichtstbijzijnde adres"": ""Alphonse de Hollainhof 38, 9000 Gent"", ""Longitude"": 3.7378808217, ""Latitude"": 51.0442879552}",MLD2319855,Zakken,"Alphonse de Hollainhof 38, 9000 Gent",3.7378808217,51.0442879552,"51.0442879552, 3.7378808217"
2023-04-23T10:19:31+02:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Hogepontstraat 61, 9050 Gent"", ""Longitude"": 3.7443914596, ""Latitude"": 51.0444723917}",MLD2319868,Zakken,"Hogepontstraat 61, 9050 Gent",3.7443914596,51.0444723917,"51.0444723917, 3.7443914596"
2023-04-23T10:32:11+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""fietsrek ter hoogte van nr 38\n"", ""Dichtstbijzijnde adres"": ""Dahliastraat 40, 9000 Gent"", ""Longitude"": 3.7070513248, ""Latitude"": 51.070251771}",MLD2319876,Zakken,"Dahliastraat 40, 9000 Gent",3.7070513248,51.070251771,"51.070251771, 3.7070513248"
2023-04-23T10:54:26+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""hoek Magnoliastraat en lorkenstraat"", ""Dichtstbijzijnde adres"": ""Nieuwevaart 216, 9000 Gent"", ""Longitude"": 3.7081428672, ""Latitude"": 51.0658199938}",MLD2319887,Meubilair,"Nieuwevaart 216, 9000 Gent",3.7081428672,51.0658199938,"51.0658199938, 3.7081428672"
